(17.011918767573547-84.77385681789507j),(-13.001950292543885+69.5104265639846j),(-1.14738182597622+4.438224205973951j),0j,(-2.862586649053443+11.09580604793651j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-13.001950292543885+69.5104265639846j),(16.180396687476936-81.51491761319981j),0j,(-1.9149113798863078+7.396929019255952j),0j,(-1.2635350150467444+4.881262029959254j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-1.14738182597622+4.438224205973951j),0j,(3.5027325981894113-23.82987305036655j),0j,0j,0j,0j,0j,(-2.038433741637789+7.875766729055093j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.3216707860340335+11.733990847067568j)
0j,(-1.9149113798863078+7.396929019255952j),0j,(4.251048368169884-16.40518445526367j),0j,0j,0j,0j,(-2.336136988283576+9.039455436007717j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
(-2.862586649053443+11.09580604793651j),0j,0j,0j,(5.6040487381196975-21.689559664802754j),0j,0j,0j,0j,(-2.7414620890662547+10.617153616866243j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-1.2635350150467444+4.881262029959254j),0j,0j,0j,(4.870682876968239-20.32593797573266j),0j,0j,0j,(-3.607147861921494+15.70017594577341j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(3.9525003915212658-15.254814719459478j),(-3.9525003915212658+15.263114719459479j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,(-3.9525003915212658+15.263114719459479j),(6.8890953855552315-26.56449021161423j),(-1.4682974970169829+5.677187746077375j),(-1.4682974970169829+5.677187746077375j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,(-2.038433741637789+7.875766729055093j),(-2.336136988283576+9.039455436007717j),0j,0j,0j,(-1.4682974970169829+5.677187746077375j),(6.458375527955492-44.992545804765555j),0j,(-0.31698626002382907+11.563107485217069j),(-0.31698626002382907+11.563107485217069j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,(-2.7414620890662547+10.617153616866243j),(-3.607147861921494+15.70017594577341j),0j,(-1.4682974970169829+5.677187746077375j),0j,(8.450741509155534-53.85188153939203j),(-0.3216707860340335+11.733990847067568j),(-0.3216707860340335+11.733990847067568j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.31698626002382907+11.563107485217069j),(-0.3216707860340335+11.733990847067568j),(6.341601150009853-67.92579999328625j),0j,(-2.6487535660473216+20.668962253090577j),(-3.0398558883134434+23.530736320648508j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,(-0.31698626002382907+11.563107485217069j),(-0.3216707860340335+11.733990847067568j),0j,(4.609028516241328-54.521671929818304j),(-2.6487535660473216+20.668962253090577j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.307283254544918+10.18415825718057j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.6487535660473216+20.668962253090577j),(-2.6487535660473216+20.668962253090577j),(6.756984928309468-52.520532557765144j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.4594777962148249+11.373408051583993j),0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.0398558883134434+23.530736320648508j),0j,0j,(6.290387350207462-48.73502109418398j),0j,(-3.250531461894019+25.289134773535473j),0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(14.84281812320216-115.81238034094444j),(-7.233748725873804+56.88356952618946j),0j,0j,0j,0j,(-5.1624745461324455+40.15257980325235j),0j,0j,(-2.4465948511959104+18.951981011502646j)
